semester,gender,collegeYear,height,weight,pulse,hsGPA,collegeGPA,SATM,SATV,shoeSize,fincialAid,tvHours,states,siblings,motherAge,fatherAge,salary
1,F,1,,180,,3.5,,400,700,9,N,0,10,4,50,50,30000
1,F,1,68,113,90,4.42,,670,400,7.5,Y,,4,1,44,47,
1,M,4,68,170,70,3,,,,12,,2,5,2,50,52,
1,M,1,74,230,75,3.27,,640,750,14,Y,0,38,1,48,49,60000
1,M,4,69,180,72,3.1,,,,11.5,N,8,35,2,55,55,0
1,F,1,64,116,60,3.6,,590,510,8,Y,2,11,4,40,53,5000
1,F,1,67,130,90,3.5,,580,690,7.5,Y,0.5,16,4,53,55,40000
1,F,1,65,132,100,3.78,,530,560,8.5,N,3,9,2,52,52,
1,M,1,73,150,80,3.35,,680,,11,Y,3,17.5,2,47,50,90000
1,M,1,68,200,90,3.75,,540,520,13,Y,5,3,2,51,54,
1,F,1,67,131,90,3.2,,,,8,Y,10,7,0,46,47,
1,F,1,,145,60,4,,540,560,10,Y,2,5,2,45,48,
1,F,1,67,141,60,3.65,,610,680,9,Y,0,10,1,52,60,
1,M,1,73,195,60,3.45,,740,580,14,Y,5,10,2,,,
1,M,,73,190,70,3.5,,510,770,12,N,2.5,15,1,50,58,60000
1,F,2,64,190,120,3.3,3,540,520,8,Y,2,1,2,56,55,30000
1,F,1,60,120,80,3.7,,,,6,Y,8,6,3,46,46,
1,M,1,71,250,70,3.5,,,,12,N,8,9,2,52,54,30000
1,M,1,71,155,80,3.4,,650,530,11.5,N,3,42,2,48,56,40000
1,F,1,66,145,80,3.993,,700,730,7.5,Y,7,13,2,44,45,30000
1,F,1,67,132,,2.8,,490,490,9,Y,2.5,6,0,44,43,60000
1,F,1,66,215,110,3.8,,,,9.5,Y,10,5,1,53,54,
1,F,2,66,130,56,3.4,3.5,,,8,Y,1,22,2,53,54,30000
1,F,1,67,140,60,3.9,,630,580,9,Y,,20,1,47,49,
1,M,1,72,153,60,3.78,,690,690,13,Y,1,9,2,54,46,50000
1,M,1,76,208,70,2.76,,610,650,12,Y,1,15,5,49,,45000
1,F,1,62,170,78,3.6,,600,600,8,Y,7,8,3,44,56,35000
1,F,1,68,130,60,4,,640,630,8,Y,2,10,1,51,51,35000
1,M,1,74,160,68,3.8,,600,650,12,Y,1,12,4,51,58,35000
1,F,2,62,118,68,4.2,3.84,590,770,7.5,Y,0,45,6,56,57,38000
1,M,1,68,156,66,3.3,,650,670,10.5,Y,1,18,0,48,,35000
1,M,1,67,173,90,3,,520,500,9,N,0,13,2,43,47,
1,M,1,74,155,70,3,,490,590,12.5,Y,0.5,10,1,52,50,80000
1,F,1,65,145,69,3.471,,,,8,N,1,29,3,51,52,40000
1,F,3,65,140,,3.7,3.2,,,7,Y,2,15,4,49,46,35000
1,M,1,72,145,70,2.75,,580,560,12,Y,2,5,2,55,56,45000
1,F,2,62,135,,,,,,7.5,Y,0,23,2,60,55,30000
1,F,1,67,145,60,3.4,,630,670,7.5,Y,2,10,2,46,46,25000
1,F,3,69,150,,2.9,,490,570,10,N,10,15,1,50,56,50000
1,M,1,70,145,72,3.3,,610,590,10,Y,2,6,1,40,41,22
1,F,1,65,140,,4.05,,610,620,9,Y,3,25,1,55,58,40000
1,F,2,67,125,68,3.6,2.9,560,660,8,Y,1,15,1,50,50,40000
1,M,4,71,245,74,3.9,3.7,800,620,12,Y,3,9,2,43,45,
1,M,1,72,135,,,,,,10,N,1,10,2,39,54,40000
1,M,1,73,165,50,3.75,,660,730,10,Y,0,6,2,49,51,20000
1,F,1,65,130,75,3.7,,510,600,8,N,1,25,1,49,52,20000
1,M,3,66,160,,3.5,2.86,,,9.5,N,,,1,57,56,60000
1,F,1,67,130,64,3.1,,660,690,10,Y,1,11,0,53,52,15000
1,F,1,64,110,56,3.8,,500,500,10,Y,0,35,2,54,58,
1,M,2,,200,,3,3,,,,Y,5,4,1,55,60,
1,M,1,75,235,72,3.45,,740,650,14,Y,4,13,2,51,53,30000
1,M,2,70,160,52,3.8,3.75,700,740,10.5,N,0,46,0,49,50,
1,F,1,69,152,76,3.7,,600,640,8.5,Y,4,25,1,54,70,40000
1,F,1,67,135,68,3.92,,640,650,8,Y,2,40,3,42,52,40
1,F,3,62,105,84,3.7,,,,6.5,Y,6,3,0,48,55,35000
1,F,1,64,120,80,3.7,,570,600,7,Y,1,9,0,53,53,25000
1,F,1,67,143,88,3,,620,560,10,N,50,9,3,54,56,20000
1,F,1,67.5,130,56,3.3,,630,,10.5,Y,2,15,1,54,54,
1,F,1,63,120,60,3.9,,600,640,7,Y,1,15,1,45,44,50000
1,F,1,67,135,88,4,,,,7,Y,1,20,2,47,50,30000
1,M,1,72,210,68,3.85,,,,11,Y,8,10,1,53,53,40000
1,F,1,65,120,69,3.7,,,,8,Y,7,5,4,47,47,30000
1,F,1,63,115,76,3.78,,,,6.5,Y,5,30,0,48,50,
1,F,1,63,125,52,3.8,,590,640,7.5,Y,7,8,1,49,47,50000
1,M,1,71,140,84,3.2,,,,10,N,2,15,2,49,51,25000
1,M,1,74,180,56,3.92,,620,560,13,Y,1,13,5,51,63,
1,M,1,69,150,64,3.9,,650,640,9,Y,6,15,2,51,53,30000
1,M,1,69,175,72,2.58,,580,700,12,Y,10,38,3,43,48,50
1,F,1,68,145,96,2.97,,580,660,8,N,1,10,1,53,55,
1,F,2,70,135,72,3.85,3,700,780,10,Y,2,6,1,49,50,
1,F,1,66,140,64,4,,710,780,8.5,Y,6,40,1,52,61,
1,F,1,65,145,68,3.7,,,670,8,Y,5,4,3,47,50,25000
1,F,1,61,120,70,4.7,,520,650,6,Y,2,20,1,49,56,10
1,M,1,72,160,80,4,,700,710,11,Y,8,3,1,46,46,22000
1,M,3,75,170,,3.2,,500,620,11.5,N,2,14,2,52,56,27000
1,F,1,68,140,80,4,,580,680,9,Y,3,7,1,48,51,35000
1,F,1,62,128,,3.8,,680,590,7,Y,2,7,1,52,53,
1,F,1,68,130,70,3.6,,580,710,9,Y,0,7,2,47,50,40000
1,F,1,67,129,,3.7,,,,8.5,Y,2,7,3,42,51,8
1,F,1,67,135,,3.8,,,,7,Y,0,10,1,47,49,
1,M,1,69,150,80,3.2,,600,630,10,Y,0.5,11,2,40,41,40000
1,M,1,68,160,,3.6,,630,580,10.5,Y,5,15,0,46,47,80000
1,M,1,72,165,,3.8,,590,570,12,Y,4,8,1,,,
1,F,1,65,140,,3.5,,,580,8.5,Y,0,9,6,45,45,
1,M,1,72,150,72,3.5,,590,480,11,Y,0,33,1,47,51,20000
1,F,3,65,125,120,3.89,3.21,540,740,7.5,Y,6,25,6,45,49,40000
1,F,2,66,128,60,3.96,3.6,660,640,8.5,Y,1,20,1,49,55,50000
2,M,1,69,165,80,3.3,2.22,660,580,11,Y,1,25,1,48,49,67.5
2,M,1,75,180,90,3.956,3.84,650,690,13,Y,4,15,0,45,43,
2,M,1,74,185,88,3.1,2.7,580,540,12,Y,2.5,20,1,49,49,45000
2,M,1,72,220,72,4,3.5,620,670,13,Y,4,17,5,46,56,2.00E+05
2,M,1,69,170,66,4,,640,530,11,Y,0,7,1,44,52,60000
2,M,1,71,165,72,3.96,2.75,550,650,11,Y,0.5,11,1,50,50,50000
2,M,1,72,190,70,3.4,2.6,540,550,13,N,0,6,1,45,47,75000
2,M,1,70,145,86,3.76,3.66,650,620,9.5,Y,2,25,1,51,53,80000
2,M,1,70,155,60,3.6,3.08,640,560,12,Y,2,14,1,50,51,40000
2,M,1,68.5,140,110,3.65,3.5,700,640,10,Y,8,5,4,53,39,25000
2,F,1,69,140,60,3.82,3.75,640,740,8,Y,0,10,2,42,43,30000
2,F,1,63,120,84,3.984,3.42,590,580,7.5,Y,1.5,8,6,45,50,50000
